mass	C_12	C_13	C_14	N_14	N_15	Mg_24	Mg_25	Mg_26	Mg_27	Al_26	Al_27	Si_28	Si_29	Si_30	Si_32	S_32	S_33	S_34	Ca_40	Ar_44	K_44	Ca_44	Sc_46	Ti_46	Ca_47	Sc_47	Ti_47	Sc_48	Ti_48	Ca_49	Sc_49	Ti_49	Ca_50	Sc_50	Ti_50
1.16179	7.03E-09	5.41E-18	9.78E-18	2.42E-16	5.39E-17	0.000221711	4.14E-08	2.05E-06	2.13E-12	1.22E-12	1.24E-06	0.147753	0.0031614	0.561748	8.35E-08	0.00078842	0.000341622	0.216802	4.98E-09	8.01E-26	9.23E-19	2.85E-06	1.01E-09	2.32E-08	1.84E-12	4.54E-08	1.56E-08	1.10E-10	0.000112648	4.75E-20	1.52E-10	3.79E-07	0	2.70E-18	0.000890478
1.16198	7.03E-09	5.47E-18	1.06E-17	2.35E-16	5.71E-17	0.000223179	4.07E-08	2.12E-06	2.22E-12	1.13E-12	1.18E-06	0.148441	0.00314982	0.565782	8.70E-08	0.0007448	0.000303979	0.217799	4.66E-09	7.62E-26	8.78E-19	2.79E-06	9.29E-10	2.13E-08	1.73E-12	4.16E-08	1.41E-08	1.02E-10	0.000103164	4.43E-20	1.40E-10	3.50E-07	0	2.51E-18	0.000813563
1.16217	7.03E-09	5.55E-18	1.17E-17	2.27E-16	6.10E-17	0.000224643	4.00E-08	2.18E-06	2.32E-12	1.04E-12	1.12E-06	0.149137	0.00313838	0.569818	9.09E-08	0.000703048	0.000267426	0.218805	4.35E-09	7.19E-26	8.30E-19	2.73E-06	8.50E-10	1.94E-08	1.61E-12	3.79E-08	1.26E-08	9.32E-11	9.37E-05	4.09E-20	1.28E-10	3.20E-07	0	2.32E-18	0.000736148
1.16236	7.03E-09	5.63E-18	1.30E-17	2.17E-16	6.58E-17	0.000226103	3.92E-08	2.25E-06	2.41E-12	9.52E-13	1.05E-06	0.149842	0.00312741	0.573857	9.53E-08	0.000663355	0.000232139	0.219819	4.06E-09	6.73E-26	7.79E-19	2.67E-06	7.71E-10	1.75E-08	1.49E-12	3.41E-08	1.11E-08	8.48E-11	8.42E-05	3.75E-20	1.16E-10	2.91E-07	0	2.12E-18	0.000658217
1.16255	7.03E-09	5.73E-18	1.46E-17	2.06E-16	7.17E-17	0.000227558	3.84E-08	2.32E-06	2.52E-12	8.58E-13	9.84E-07	0.150557	0.00311729	0.577899	1.00E-07	0.000625946	0.000198356	0.220845	3.80E-09	6.23E-26	7.25E-19	2.61E-06	6.92E-10	1.56E-08	1.36E-12	3.02E-08	9.72E-09	7.63E-11	7.47E-05	3.39E-20	1.03E-10	2.61E-07	0	1.91E-18	0.000579752
1.16274	7.03E-09	5.84E-18	1.68E-17	1.93E-16	7.92E-17	0.000229006	3.75E-08	2.39E-06	2.64E-12	7.61E-13	9.10E-07	0.151283	0.00310862	0.581944	1.06E-07	0.000591093	0.000166332	0.221882	3.55E-09	5.68E-26	6.68E-19	2.55E-06	6.12E-10	1.37E-08	1.23E-12	2.64E-08	8.35E-09	6.77E-11	6.52E-05	3.00E-20	8.95E-11	2.31E-07	0	1.69E-18	0.000500731
1.16293	7.03E-09	5.97E-18	1.97E-17	1.79E-16	8.94E-17	0.000230445	3.66E-08	2.47E-06	2.77E-12	6.61E-13	8.35E-07	0.152022	0.00310217	0.585995	1.13E-07	0.000559135	0.000136406	0.222934	3.32E-09	5.09E-26	6.07E-19	2.49E-06	5.32E-10	1.18E-08	1.10E-12	2.26E-08	7.01E-09	5.90E-11	5.56E-05	2.60E-20	7.59E-11	2.01E-07	0	1.46E-18	0.000421128
1.16313	7.03E-09	6.13E-18	2.40E-17	1.61E-16	1.04E-16	0.00023187	3.56E-08	2.54E-06	2.92E-12	5.58E-13	7.60E-07	0.152774	0.00309909	0.59005	1.21E-07	0.000530473	0.000109002	0.224002	3.12E-09	4.41E-26	5.40E-19	2.42E-06	4.51E-10	9.95E-09	9.63E-13	1.88E-08	5.71E-09	5.02E-11	4.61E-05	2.18E-20	6.19E-11	1.70E-07	0	1.22E-18	0.000340914
1.16332	7.03E-09	6.34E-18	3.06E-17	1.41E-16	1.25E-16	0.000233275	3.46E-08	2.61E-06	3.10E-12	4.52E-13	6.93E-07	0.153541	0.00310105	0.594111	1.30E-07	0.000505614	8.46E-05	0.225089	2.94E-09	3.65E-26	4.67E-19	2.36E-06	3.68E-10	8.06E-09	8.20E-13	1.50E-08	4.46E-09	4.12E-11	3.66E-05	1.73E-20	4.74E-11	1.38E-07	0	9.61E-19	0.000260053
1.16351	7.03E-09	6.61E-18	4.23E-17	1.16E-16	1.63E-16	0.000234646	3.37E-08	2.69E-06	3.32E-12	3.42E-13	6.44E-07	0.154324	0.0031106	0.59818	1.41E-07	0.000485196	6.39E-05	0.226198	2.80E-09	2.75E-26	3.86E-19	2.30E-06	2.82E-10	6.19E-09	6.70E-13	1.12E-08	3.25E-09	3.19E-11	2.70E-05	1.24E-20	3.24E-11	1.06E-07	0	6.82E-19	0.000178505
1.1637	7.03E-09	6.99E-18	6.62E-17	8.52E-17	2.45E-16	0.000235962	3.29E-08	2.77E-06	3.61E-12	2.27E-13	6.36E-07	0.155123	0.00313174	0.60226	1.52E-07	0.000470052	4.76E-05	0.227335	2.68E-09	1.65E-26	2.91E-19	2.24E-06	1.90E-10	4.32E-09	5.08E-13	7.37E-09	2.09E-09	2.22E-11	1.75E-05	6.85E-21	1.68E-11	7.18E-08	0	3.73E-19	9.62E-05
1.16389	7.03E-09	7.54E-18	1.27E-16	4.32E-17	5.65E-16	0.00023718	3.25E-08	2.85E-06	3.99E-12	1.06E-13	7.08E-07	0.155938	0.00317082	0.606347	1.60E-07	0.000461308	3.67E-05	0.228503	2.61E-09	0	1.77E-19	2.18E-06	8.71E-11	2.47E-09	3.29E-13	3.57E-09	1.00E-09	1.15E-11	7.92E-06	4.42E-22	5.51E-13	3.46E-08	0	1.31E-20	1.33E-05
1.20072	8.51E-09	9.96E-18	1.50E-16	7.41E-17	7.86E-16	0.000234832	2.93E-08	2.22E-06	2.74E-12	1.26E-13	6.77E-07	0.182394	0.00336405	0.564867	1.24E-07	0.000645965	4.42E-05	0.242405	5.01E-09	0	1.54E-19	2.29E-06	9.71E-11	2.88E-09	2.15E-13	2.92E-09	1.05E-09	8.47E-12	6.71E-06	2.06E-22	3.44E-13	2.64E-08	0	7.23E-21	8.63E-06
1.22154	9.83E-09	1.32E-17	1.91E-16	1.20E-16	1.08E-15	0.000231867	2.76E-08	1.93E-06	2.24E-12	1.51E-13	6.60E-07	0.196928	0.00345606	0.542017	1.08E-07	0.000771214	4.90E-05	0.250016	7.09E-09	0	1.46E-19	2.36E-06	1.04E-10	3.18E-09	1.73E-13	2.62E-09	1.08E-09	7.21E-12	6.09E-06	1.38E-22	2.68E-13	2.27E-08	0	5.26E-21	6.82E-06
1.24075	1.13E-08	1.77E-17	2.45E-16	1.86E-16	1.47E-15	0.000230043	2.64E-08	1.72E-06	1.88E-12	1.91E-13	6.52E-07	0.209997	0.00353061	0.521463	9.53E-08	0.000900879	5.39E-05	0.256795	9.65E-09	0	1.40E-19	2.43E-06	1.12E-10	3.49E-09	1.43E-13	2.39E-09	1.13E-09	6.25E-12	5.55E-06	9.68E-23	2.14E-13	1.97E-08	0	3.96E-21	5.48E-06
1.26029	1.29E-08	2.36E-17	3.10E-16	2.82E-16	1.96E-15	0.000230797	2.57E-08	1.56E-06	1.63E-12	2.50E-13	6.53E-07	0.221757	0.00358922	0.502958	8.51E-08	0.00103229	5.88E-05	0.262832	1.27E-08	0	1.35E-19	2.49E-06	1.19E-10	3.82E-09	1.20E-13	2.19E-09	1.18E-09	5.49E-12	5.05E-06	7.05E-23	1.74E-13	1.72E-08	0	3.05E-21	4.47E-06
1.28052	1.46E-08	3.18E-17	3.92E-16	4.35E-16	2.61E-15	0.00023631	2.56E-08	1.44E-06	1.43E-12	3.47E-13	6.71E-07	0.233904	0.00364387	0.483848	7.57E-08	0.00118535	6.45E-05	0.268969	1.67E-08	0	1.30E-19	2.56E-06	1.28E-10	4.22E-09	1.00E-13	2.00E-09	1.24E-09	4.80E-12	4.54E-06	5.09E-23	1.40E-13	1.48E-08	0	2.32E-21	3.57E-06
1.31382	1.76E-08	5.36E-17	5.76E-16	9.33E-16	4.18E-15	0.000268411	2.79E-08	1.35E-06	1.21E-12	6.55E-13	7.71E-07	0.256122	0.00373489	0.448911	6.08E-08	0.00151998	7.65E-05	0.279847	2.76E-08	0	1.25E-19	2.67E-06	1.48E-10	5.20E-09	7.27E-14	1.70E-09	1.39E-09	3.76E-12	3.61E-06	2.81E-23	9.25E-14	1.10E-08	0	1.40E-21	2.27E-06
1.33296	1.90E-08	6.63E-17	6.71E-16	1.26E-15	5.03E-15	0.000293758	3.01E-08	1.37E-06	1.19E-12	8.54E-13	8.50E-07	0.264226	0.00375453	0.436077	5.59E-08	0.00165685	8.15E-05	0.283759	3.29E-08	0	1.21E-19	2.71E-06	1.56E-10	5.65E-09	6.43E-14	1.58E-09	1.46E-09	3.41E-12	3.30E-06	2.25E-23	7.88E-14	9.74E-09	0	1.15E-21	1.89E-06
1.35207	2.04E-08	8.77E-17	8.07E-16	1.90E-15	6.35E-15	0.000347589	3.51E-08	1.43E-06	1.18E-12	1.22E-12	1.01E-06	0.277106	0.00379704	0.41572	4.90E-08	0.00190537	9.02E-05	0.289756	4.38E-08	0	1.20E-19	2.77E-06	1.69E-10	6.57E-09	5.33E-14	1.43E-09	1.62E-09	2.96E-12	2.86E-06	1.59E-23	6.16E-14	8.10E-09	0	8.48E-22	1.39E-06
