mass	C_12	C_13	C_14	N_14	N_15	Mg_24	Mg_25	Mg_26	Mg_27	Al_26	Al_27	Si_28	Si_29	Si_30	Si_32	S_32	S_33	S_34	Ca_40	Ar_44	K_44	Ca_44	Sc_46	Ti_46	Ca_47	Sc_47	Ti_47	Sc_48	Ti_48	Ca_49	Sc_49	Ti_49	Ca_50	Sc_50	Ti_50	12C/13C	14N/15N	d29Si	d30Si	d33S	d34S	d25Mg	26Al/27Al	d44Ca	d46Ti	d47Ti	d49Ti	d50Ti
1.72384	8.78E-08	7.44E-14	7.80E-14	1.21E-11	9.88E-14	0.0236948	1.65E-05	6.93E-06	1.48E-11	3.10E-09	0.000282507	0.321583	0.00977476	0.102078	3.09E-08	0.0486309	0.00343988	0.0946236	9.72E-07	1.04E-26	8.57E-18	6.30E-06	1.84E-08	6.37E-07	2.26E-13	1.15E-08	2.18E-07	5.73E-11	7.58E-06	3.31E-23	1.91E-12	5.34E-08	0	7.04E-20	2.81E-07	1278757	132	1	9	9	41	0.005	0.025	274.064	0.83	0.31	0.094	1
1.72392	9.04E-08	7.35E-14	7.59E-14	1.19E-11	1.02E-13	0.0230297	1.57E-05	6.85E-06	1.42E-11	2.96E-09	0.000269935	0.324697	0.00954557	0.102715	2.95E-08	0.0487439	0.00345014	0.0977697	1.00E-06	1.14E-26	8.11E-18	6.27E-06	1.74E-08	6.38E-07	2.07E-13	1.07E-08	2.13E-07	5.23E-11	7.61E-06	2.86E-22	1.76E-12	5.16E-08	0	6.64E-20	2.60E-07	1332598	125	1	9	9	42	0.005	0.026	265.051	0.83	0.30	0.090	0
1.724	9.35E-08	1.88E-13	3.21E-13	2.87E-11	1.19E-13	0.0399555	3.69E-05	1.17E-05	4.91E-11	6.98E-09	0.000529669	0.26694	0.0139737	0.100664	1.06E-07	0.0345099	0.0022428	0.0655657	8.34E-07	5.09E-25	5.12E-17	7.28E-06	4.26E-08	4.93E-07	2.19E-12	4.27E-08	2.34E-07	4.13E-10	6.79E-06	5.18E-20	1.82E-11	9.19E-08	0	1.32E-18	7.39E-07	538011	261	1	11	8	40	0.007	0.023	369.162	0.76	0.41	0.181	1
1.72402	9.29E-08	2.06E-13	3.28E-13	2.83E-11	1.15E-13	0.0411173	4.02E-05	1.13E-05	5.09E-11	7.88E-09	0.000572359	0.26332	0.0142115	0.0999423	1.21E-07	0.0336099	0.0021764	0.0637059	8.39E-07	9.47E-25	5.10E-17	7.31E-06	4.42E-08	4.86E-07	2.64E-12	4.43E-08	2.38E-07	4.47E-10	6.76E-06	8.96E-20	1.48E-11	1.00E-07	0	1.16E-18	7.75E-07	488826	266	1	11	8	39	0.007	0.021	368.360	0.76	0.42	0.198	2
1.72402	9.31E-08	2.06E-13	3.29E-13	2.83E-11	1.16E-13	0.0411171	4.02E-05	1.13E-05	5.09E-11	7.89E-09	0.000572299	0.263321	0.0142113	0.0999429	1.21E-07	0.03361	0.00217641	0.0637063	8.39E-07	9.47E-25	5.10E-17	7.31E-06	4.42E-08	4.86E-07	2.64E-12	4.43E-08	2.38E-07	4.47E-10	6.76E-06	8.96E-20	1.48E-11	1.00E-07	0	1.16E-18	7.75E-07	488852	266	1	11	8	39	0.007	0.021	368.360	0.76	0.42	0.198	2
1.72403	9.06E-08	1.98E-13	3.21E-13	2.78E-11	1.12E-13	0.041121	4.01E-05	1.13E-05	5.01E-11	7.79E-09	0.000572869	0.263307	0.0142133	0.0999371	1.21E-07	0.0336068	0.00217604	0.0636986	8.39E-07	9.38E-25	5.06E-17	7.31E-06	4.42E-08	4.86E-07	2.63E-12	4.43E-08	2.38E-07	4.46E-10	6.76E-06	8.75E-20	1.47E-11	1.00E-07	0	1.14E-18	7.75E-07	496227	270	1	11	8	39	0.007	0.021	368.375	0.76	0.42	0.198	2
1.72403	6.05E-08	9.76E-14	2.30E-13	2.11E-11	6.27E-14	0.0411654	3.93E-05	1.12E-05	4.16E-11	6.62E-09	0.000579893	0.263142	0.0142372	0.0998656	1.22E-07	0.0335693	0.00217182	0.0636082	8.39E-07	8.28E-25	4.62E-17	7.31E-06	4.42E-08	4.86E-07	2.51E-12	4.44E-08	2.38E-07	4.41E-10	6.75E-06	6.29E-20	1.42E-11	1.02E-07	0	8.68E-19	7.77E-07	671527	364	1	11	8	39	0.007	0.020	368.542	0.76	0.42	0.202	2
1.72497	6.05E-08	9.76E-14	2.30E-13	2.11E-11	6.27E-14	0.0411654	3.93E-05	1.12E-05	4.16E-11	6.62E-09	0.000579894	0.263142	0.0142372	0.0998656	1.22E-07	0.0335693	0.00217182	0.0636082	8.39E-07	8.28E-25	4.62E-17	7.31E-06	4.42E-08	4.86E-07	2.51E-12	4.44E-08	2.38E-07	4.41E-10	6.75E-06	6.29E-20	1.42E-11	1.02E-07	0	8.68E-19	7.77E-07	671564	364	1	11	8	39	0.007	0.020	368.542	0.76	0.42	0.202	2
1.73871	6.03E-08	9.66E-14	2.30E-13	2.10E-11	6.22E-14	0.0411656	3.93E-05	1.12E-05	4.15E-11	6.61E-09	0.000579929	0.263141	0.0142373	0.0998652	1.22E-07	0.0335692	0.0021718	0.0636078	8.39E-07	8.27E-25	4.62E-17	7.31E-06	4.42E-08	4.86E-07	2.51E-12	4.44E-08	2.38E-07	4.41E-10	6.75E-06	6.26E-20	1.42E-11	1.02E-07	0	8.65E-19	7.77E-07	675497	366	1	11	8	39	0.007	0.020	368.543	0.76	0.42	0.202	2
1.75254	5.99E-08	9.51E-14	2.29E-13	2.10E-11	6.15E-14	0.041166	3.93E-05	1.12E-05	4.14E-11	6.60E-09	0.000579984	0.26314	0.0142375	0.0998646	1.22E-07	0.0335689	0.00217176	0.0636071	8.39E-07	8.26E-25	4.61E-17	7.31E-06	4.42E-08	4.86E-07	2.50E-12	4.44E-08	2.38E-07	4.41E-10	6.75E-06	6.22E-20	1.42E-11	1.02E-07	0	8.61E-19	7.77E-07	682260	369	1	11	8	39	0.007	0.020	368.544	0.76	0.42	0.202	2
1.80732	5.65E-08	8.14E-14	2.23E-13	2.06E-11	5.52E-14	0.0411694	3.92E-05	1.12E-05	3.99E-11	6.43E-09	0.000580373	0.263128	0.0142389	0.0998602	1.22E-07	0.033566	0.00217148	0.0636011	8.39E-07	8.19E-25	4.55E-17	7.31E-06	4.42E-08	4.85E-07	2.49E-12	4.44E-08	2.38E-07	4.40E-10	6.75E-06	5.76E-20	1.42E-11	1.03E-07	0	8.16E-19	7.77E-07	752689	405	1	11	8	39	0.007	0.020	368.551	0.76	0.42	0.203	2
1.82089	5.25E-08	6.57E-14	2.17E-13	2.03E-11	4.81E-14	0.0411748	3.91E-05	1.12E-05	3.81E-11	6.23E-09	0.000580895	0.26311	0.0142407	0.0998541	1.22E-07	0.0335615	0.00217105	0.0635918	8.39E-07	8.10E-25	4.47E-17	7.31E-06	4.42E-08	4.85E-07	2.48E-12	4.44E-08	2.38E-07	4.39E-10	6.75E-06	5.19E-20	1.41E-11	1.03E-07	0	7.60E-19	7.78E-07	866774	457	1	11	8	39	0.007	0.020	368.558	0.76	0.42	0.203	2
1.82295	2.37E-08	2.51E-14	1.26E-13	1.28E-11	1.69E-14	0.0437788	4.37E-05	1.16E-05	3.57E-11	6.31E-09	0.00065944	0.255519	0.0144009	0.0985338	1.59E-07	0.0314853	0.00201098	0.0599997	8.57E-07	1.24E-24	4.20E-17	7.39E-06	4.27E-08	4.72E-07	3.15E-12	4.77E-08	2.41E-07	4.45E-10	6.68E-06	7.89E-20	1.11E-11	1.25E-07	0	5.24E-19	8.43E-07	1024142	818	1	11	8	40	0.008	0.018	364.446	0.74	0.44	0.250	2
1.82501	2.31E-08	2.57E-14	1.26E-13	1.23E-11	1.61E-14	0.0450653	4.67E-05	1.20E-05	3.85E-11	6.88E-09	0.000693093	0.251837	0.014442	0.0979219	1.76E-07	0.0304724	0.00193402	0.0582963	8.67E-07	1.61E-24	4.28E-17	7.42E-06	4.15E-08	4.65E-07	3.62E-12	4.95E-08	2.42E-07	4.59E-10	6.65E-06	1.04E-19	1.01E-11	1.35E-07	0	4.99E-19	8.73E-07	972835	824	1	11	8	40	0.008	0.018	362.141	0.74	0.44	0.271	2
1.82707	2.25E-08	2.64E-14	1.26E-13	1.18E-11	1.54E-14	0.0463515	4.98E-05	1.23E-05	4.16E-11	7.48E-09	0.000726803	0.248155	0.0144831	0.0973098	1.93E-07	0.0294595	0.00185708	0.0565933	8.76E-07	1.99E-24	4.36E-17	7.46E-06	4.02E-08	4.59E-07	4.13E-12	5.13E-08	2.43E-07	4.73E-10	6.62E-06	1.31E-19	9.10E-12	1.45E-07	0	4.71E-19	9.03E-07	924263	827	1	11	8	40	0.008	0.018	359.887	0.73	0.45	0.292	2
1.82913	2.20E-08	2.71E-14	1.26E-13	1.12E-11	1.47E-14	0.0476373	5.30E-05	1.27E-05	4.49E-11	8.11E-09	0.000760562	0.244474	0.014524	0.0966973	2.10E-07	0.0284468	0.00178015	0.0548905	8.86E-07	2.38E-24	4.43E-17	7.49E-06	3.90E-08	4.52E-07	4.68E-12	5.31E-08	2.44E-07	4.86E-10	6.59E-06	1.60E-19	8.10E-12	1.55E-07	0	4.38E-19	9.34E-07	878250	827	1	11	8	40	0.008	0.017	357.683	0.72	0.46	0.313	2
1.83118	2.14E-08	2.78E-14	1.27E-13	1.07E-11	1.41E-14	0.048923	5.62E-05	1.31E-05	4.83E-11	8.76E-09	0.000794362	0.240794	0.0145648	0.0960847	2.27E-07	0.0274341	0.00170324	0.0531881	8.95E-07	2.78E-24	4.50E-17	7.53E-06	3.78E-08	4.45E-07	5.27E-12	5.49E-08	2.45E-07	4.99E-10	6.56E-06	1.91E-19	7.10E-12	1.64E-07	0	4.01E-19	9.64E-07	834622	824	1	11	8	40	0.009	0.017	355.528	0.71	0.46	0.335	2
1.83324	2.08E-08	2.85E-14	1.27E-13	1.02E-11	1.35E-14	0.0502083	5.96E-05	1.35E-05	5.19E-11	9.44E-09	0.000828172	0.237114	0.0146055	0.0954718	2.44E-07	0.0264215	0.00162634	0.051486	9.05E-07	3.20E-24	4.56E-17	7.56E-06	3.65E-08	4.38E-07	5.90E-12	5.67E-08	2.46E-07	5.13E-10	6.53E-06	2.24E-19	6.10E-12	1.74E-07	0	3.60E-19	9.94E-07	793164	816	1	11	7	41	0.009	0.017	353.419	0.70	0.47	0.357	2
1.8353	2.03E-08	2.91E-14	1.27E-13	9.60E-12	1.29E-14	0.0514935	6.30E-05	1.38E-05	5.58E-11	1.02E-08	0.000861964	0.233435	0.0146461	0.0948587	2.61E-07	0.025409	0.00154947	0.0497842	9.14E-07	3.63E-24	4.61E-17	7.60E-06	3.53E-08	4.32E-07	6.56E-12	5.85E-08	2.47E-07	5.26E-10	6.49E-06	2.59E-19	5.10E-12	1.85E-07	0	3.14E-19	1.02E-06	753648	805	1	11	7	41	0.009	0.017	351.354	0.69	0.48	0.379	2
1.83735	1.97E-08	2.98E-14	1.28E-13	9.02E-12	1.24E-14	0.0527782	6.65E-05	1.42E-05	5.98E-11	1.09E-08	0.000895755	0.229757	0.0146867	0.0942455	2.78E-07	0.0243967	0.00147262	0.0480831	9.24E-07	4.08E-24	4.65E-17	7.63E-06	3.40E-08	4.25E-07	7.27E-12	6.02E-08	2.48E-07	5.39E-10	6.46E-06	2.96E-19	4.09E-12	1.95E-07	0	2.63E-19	1.05E-06	715966	790	1	11	7	41	0.010	0.016	349.334	0.69	0.48	0.402	2
1.8538	1.63E-08	4.40E-14	3.68E-13	1.60E-11	1.14E-14	0.068633	0.00013015	3.22E-05	2.61E-10	2.49E-08	0.00110082	0.19108	0.017801	0.0765551	6.13E-07	0.0193368	0.00109583	0.0313498	1.82E-06	6.26E-22	1.80E-15	8.21E-06	5.03E-08	4.53E-07	9.67E-11	2.06E-07	3.65E-07	3.17E-09	5.61E-06	1.15E-17	4.03E-11	2.87E-07	0	5.64E-18	2.17E-06	400014	1532	2	11	7	34	0.014	0.030	190.833	0.87	1.03	0.683	5
1.8538	1.64E-08	6.55E-14	6.41E-13	2.46E-11	1.36E-14	0.0824958	0.000190449	4.79E-05	4.64E-10	3.90E-08	0.00127827	0.157387	0.0210666	0.0600107	9.56E-07	0.0155048	0.000812572	0.0165136	2.67E-06	1.31E-21	3.88E-15	8.71E-06	7.71E-08	4.92E-07	1.89E-10	3.43E-07	4.76E-07	5.95E-09	4.82E-06	2.30E-17	8.06E-11	3.60E-07	0	1.19E-17	3.24E-06	271586	1989	3	11	6	22	0.018	0.039	138.119	1.14	1.72	0.998	9
1.8538	1.64E-08	7.04E-14	7.27E-13	2.68E-11	1.43E-14	0.0845257	0.000203978	5.09E-05	5.23E-10	4.26E-08	0.00129677	0.152438	0.0215307	0.0576359	1.04E-06	0.0149513	0.000776749	0.0143106	2.78E-06	1.57E-21	4.96E-15	8.78E-06	8.33E-08	4.98E-07	2.13E-10	3.60E-07	4.87E-07	6.64E-09	4.71E-06	2.61E-17	9.35E-11	3.73E-07	0	1.46E-17	3.40E-06	252773	2063	3	11	6	20	0.018	0.041	133.621	1.19	1.82	1.056	10
1.8538	1.65E-08	7.58E-14	8.26E-13	2.93E-11	1.51E-14	0.0865532	0.000218428	5.41E-05	5.91E-10	4.64E-08	0.00131388	0.147492	0.0219876	0.0552769	1.12E-06	0.014399	0.000741761	0.0121062	2.89E-06	1.88E-21	6.31E-15	8.85E-06	8.99E-08	5.03E-07	2.40E-10	3.77E-07	4.98E-07	7.38E-09	4.60E-06	2.93E-17	1.08E-10	3.85E-07	0	1.80E-17	3.56E-06	235307	2132	3	10	6	18	0.019	0.043	129.599	1.24	1.92	1.117	11
1.8538	1.65E-08	7.84E-14	8.75E-13	3.05E-11	1.55E-14	0.0875137	0.000225489	5.57E-05	6.25E-10	4.83E-08	0.00132167	0.145149	0.0222026	0.0541623	1.17E-06	0.0141374	0.000725366	0.0110608	2.94E-06	2.03E-21	7.02E-15	8.88E-06	9.31E-08	5.06E-07	2.54E-10	3.85E-07	5.02E-07	7.74E-09	4.55E-06	3.09E-17	1.16E-10	3.92E-07	0	1.97E-17	3.64E-06	227612	2162	3	10	6	16	0.020	0.044	127.826	1.27	1.97	1.146	11
1.85423	1.81E-08	9.11E-14	1.03E-12	3.47E-11	1.74E-14	0.0891113	0.0002342	5.76E-05	6.82E-10	5.08E-08	0.00133072	0.141219	0.0226249	0.0523264	1.24E-06	0.0137535	0.000701906	0.00922645	3.02E-06	2.55E-21	9.10E-15	8.93E-06	1.06E-07	5.09E-07	2.73E-10	3.96E-07	5.03E-07	9.02E-09	4.49E-06	3.44E-17	1.54E-10	3.92E-07	0	2.78E-17	3.78E-06	214808	2204	3	10	6	14	0.020	0.045	125.236	1.32	2.03	1.165	11
1.85465	1.82E-08	9.42E-14	1.09E-12	3.61E-11	1.79E-14	0.0899422	0.000240291	5.94E-05	7.20E-10	5.25E-08	0.0013349	0.139241	0.0228123	0.0513745	1.28E-06	0.0135259	0.00068829	0.00841103	3.06E-06	2.76E-21	1.01E-14	8.96E-06	1.10E-07	5.12E-07	2.87E-10	4.03E-07	5.06E-07	9.43E-09	4.45E-06	3.62E-17	1.64E-10	3.96E-07	0	3.05E-17	3.85E-06	209233	2230	3	10	6	13	0.020	0.046	123.807	1.35	2.07	1.188	12
1.85508	1.82E-08	9.69E-14	1.15E-12	3.74E-11	1.83E-14	0.0907924	0.000246966	6.13E-05	7.61E-10	5.43E-08	0.00133913	0.137222	0.0229977	0.0504015	1.31E-06	0.0132896	0.000674251	0.00758929	3.11E-06	2.98E-21	1.11E-14	8.99E-06	1.13E-07	5.14E-07	3.01E-10	4.10E-07	5.09E-07	9.81E-09	4.40E-06	3.80E-17	1.74E-10	4.01E-07	0	3.31E-17	3.92E-06	203714	2258	3	10	6	12	0.021	0.048	122.398	1.37	2.11	1.214	12
1.8555	1.82E-08	9.96E-14	1.21E-12	3.87E-11	1.87E-14	0.0916443	0.000253863	6.33E-05	8.06E-10	5.62E-08	0.00134311	0.135201	0.023181	0.0494294	1.35E-06	0.0130528	0.000660288	0.00676717	3.15E-06	3.21E-21	1.22E-14	9.02E-06	1.16E-07	5.16E-07	3.16E-10	4.16E-07	5.12E-07	1.02E-08	4.36E-06	3.99E-17	1.84E-10	4.06E-07	0	3.58E-17	3.99E-06	198330	2284	3	10	6	11	0.021	0.049	121.058	1.40	2.15	1.241	12
1.85592	1.83E-08	1.02E-13	1.27E-12	4.01E-11	1.92E-14	0.0924968	0.000260966	6.55E-05	8.53E-10	5.81E-08	0.00134681	0.133178	0.0233621	0.0484597	1.39E-06	0.0128161	0.000646433	0.00594506	3.20E-06	3.45E-21	1.35E-14	9.05E-06	1.19E-07	5.18E-07	3.31E-10	4.23E-07	5.15E-07	1.06E-08	4.32E-06	4.19E-17	1.95E-10	4.11E-07	0	3.88E-17	4.06E-06	193083	2310	3	10	6	10	0.021	0.051	119.785	1.42	2.19	1.269	13
1.85634	1.83E-08	1.05E-13	1.34E-12	4.15E-11	1.97E-14	0.0933501	0.000268291	6.77E-05	9.03E-10	6.01E-08	0.00135024	0.131154	0.0235408	0.0474923	1.44E-06	0.0125794	0.000632674	0.00512354	3.24E-06	3.72E-21	1.49E-14	9.08E-06	1.22E-07	5.21E-07	3.47E-10	4.29E-07	5.17E-07	1.10E-08	4.28E-06	4.40E-17	2.06E-10	4.17E-07	0	4.20E-17	4.13E-06	187967	2335	3	10	6	8	0.022	0.052	118.576	1.45	2.23	1.297	13
1.86308	1.75E-08	1.04E-13	1.46E-12	4.31E-11	1.99E-14	0.0954365	0.000287681	8.51E-05	1.19E-09	6.49E-08	0.00133923	0.12695	0.0239394	0.0447585	1.51E-06	0.0117649	0.000587077	0.00443415	3.54E-06	6.18E-21	2.14E-14	9.14E-06	1.20E-07	5.25E-07	4.16E-10	4.41E-07	5.22E-07	1.12E-08	4.12E-06	5.92E-17	2.08E-10	4.29E-07	0	4.43E-17	4.28E-06	181989	2406	4	10	6	8	0.023	0.066	109.043	1.51	2.36	1.385	14
1.86981	1.67E-08	1.03E-13	1.59E-12	4.49E-11	2.02E-14	0.097507	0.000308415	0.000104059	1.52E-09	7.00E-08	0.00132447	0.122791	0.0243352	0.0420361	1.57E-06	0.0109625	0.000542893	0.00376028	3.85E-06	8.78E-21	2.90E-14	9.20E-06	1.17E-07	5.30E-07	4.92E-10	4.52E-07	5.27E-07	1.14E-08	3.96E-06	7.57E-17	2.09E-10	4.39E-07	0	4.64E-17	4.42E-06	176195	2467	4	10	6	7	0.024	0.082	100.996	1.57	2.49	1.477	15
1.88045	1.58E-08	9.94E-14	1.74E-12	4.65E-11	2.04E-14	0.0996134	0.00033405	0.000159923	2.45E-09	7.61E-08	0.00129244	0.118113	0.0248304	0.0383799	1.61E-06	0.00999701	0.000490622	0.00308012	4.37E-06	1.65E-20	4.44E-14	9.30E-06	1.12E-07	5.33E-07	6.23E-10	4.48E-07	5.19E-07	1.10E-08	3.74E-06	1.11E-16	2.03E-10	4.48E-07	0	4.72E-17	4.59E-06	171619	2534	4	9	6	6	0.025	0.129	89.922	1.66	2.61	1.594	17
1.89109	1.49E-08	9.60E-14	1.91E-12	4.83E-11	2.08E-14	0.101604	0.000360628	0.000229547	3.69E-09	8.24E-08	0.00125674	0.113694	0.0253111	0.0348047	1.63E-06	0.00908171	0.000442042	0.00245706	4.90E-06	2.49E-20	6.24E-14	9.39E-06	1.06E-07	5.36E-07	7.70E-10	4.40E-07	5.08E-07	1.04E-08	3.53E-06	1.51E-16	1.96E-10	4.52E-07	0	4.75E-17	4.76E-06	167576	2586	4	9	6	6	0.027	0.190	81.072	1.76	2.72	1.709	18
1.90231	1.42E-08	9.17E-14	2.04E-12	4.89E-11	2.09E-14	0.103138	0.000381056	0.000359249	5.95E-09	8.61E-08	0.00122777	0.110425	0.0256068	0.0319366	1.61E-06	0.00836858	0.000404691	0.00207339	5.40E-06	3.76E-20	8.09E-14	9.46E-06	9.89E-08	5.33E-07	9.14E-10	4.13E-07	4.89E-07	9.38E-09	3.36E-06	1.97E-16	1.84E-10	4.52E-07	0	4.59E-17	4.89E-06	167202	2611	4	8	6	5	0.028	0.304	74.096	1.81	2.71	1.793	20
1.91352	1.35E-08	8.76E-14	2.17E-12	4.95E-11	2.10E-14	0.104658	0.000402664	0.000492918	8.40E-09	8.99E-08	0.00119852	0.107188	0.0258975	0.02908	1.58E-06	0.00766318	0.000368096	0.00169528	5.91E-06	4.89E-20	1.00E-13	9.54E-06	9.18E-08	5.30E-07	1.07E-09	3.86E-07	4.69E-07	8.38E-09	3.20E-06	2.44E-16	1.72E-10	4.51E-07	0	4.41E-17	5.01E-06	166812	2632	5	8	6	5	0.029	0.427	68.305	1.87	2.70	1.879	21
1.94086	1.23E-08	7.68E-14	2.36E-12	4.75E-11	2.07E-14	0.107847	0.000437841	0.00101321	1.78E-08	9.11E-08	0.00118568	0.101548	0.0261089	0.0240373	1.52E-06	0.00645102	0.000306197	0.00118715	6.96E-06	7.31E-20	1.28E-13	9.71E-06	7.27E-08	4.99E-07	1.38E-09	3.04E-07	4.19E-07	5.86E-09	2.92E-06	3.47E-16	1.42E-10	4.36E-07	0	3.72E-17	5.21E-06	173943	2579	5	7	6	4	0.031	0.887	58.994	1.89	2.50	1.990	24
1.95791	1.18E-08	6.97E-14	2.36E-12	4.39E-11	2.02E-14	0.109289	0.000448481	0.00140671	2.46E-08	8.75E-08	0.00123005	0.0990243	0.0260608	0.0216354	1.58E-06	0.00593392	0.000280657	0.000998834	7.51E-06	7.91E-20	1.30E-13	9.80E-06	6.03E-08	4.77E-07	1.54E-09	2.57E-07	3.99E-07	4.55E-09	2.80E-06	3.93E-16	1.22E-10	4.21E-07	0	3.19E-17	5.30E-06	182924	2447	5	6	6	4	0.031	1.188	55.137	1.85	2.37	2.007	26
1.97834	1.11E-08	6.07E-14	2.19E-12	3.71E-11	1.93E-14	0.110313	0.000447928	0.00188301	3.20E-08	7.87E-08	0.00137956	0.0968598	0.0259455	0.0193061	2.03E-06	0.00547264	0.000259641	0.000844172	8.09E-06	7.70E-20	1.17E-13	9.90E-06	4.53E-08	4.56E-07	1.66E-09	2.11E-07	3.89E-07	3.32E-09	2.68E-06	4.25E-16	1.01E-10	4.01E-07	0	2.57E-17	5.39E-06	198896	2178	5	6	6	3	0.031	1.417	51.751	1.80	2.26	1.991	27
2.01929	9.95E-09	4.32E-14	1.58E-12	2.15E-11	1.76E-14	0.11095	0.000413757	0.00270257	4.08E-08	5.33E-08	0.00212788	0.0938922	0.0256132	0.0161811	6.00E-06	0.00494763	0.00023959	0.000685312	8.90E-06	6.23E-20	7.26E-14	1.01E-05	2.20E-08	4.51E-07	1.78E-09	1.58E-07	3.93E-07	1.75E-09	2.47E-06	4.18E-16	5.76E-11	4.05E-07	0	1.31E-17	5.49E-06	249317	1402	5	5	6	3	0.028	1.319	47.830	1.85	2.27	2.193	30
2.0399	9.29E-09	3.57E-14	1.30E-12	1.61E-11	1.67E-14	0.110867	0.000392876	0.00301662	4.22E-08	4.20E-08	0.00265342	0.0927902	0.0254434	0.0151736	9.44E-06	0.00482076	0.000232571	0.000649349	9.16E-06	5.61E-20	5.30E-14	1.01E-05	1.50E-08	4.60E-07	1.82E-09	1.49E-07	3.98E-07	1.31E-09	2.31E-06	3.94E-16	4.14E-11	4.76E-07	0	8.79E-18	5.51E-06	282176	1119	5	5	6	3	0.027	1.181	46.726	1.98	2.40	2.748	33
2.06047	8.62E-09	2.99E-14	1.17E-12	1.40E-11	1.62E-14	0.110636	0.000385856	0.00325278	4.28E-08	3.46E-08	0.00313211	0.0919266	0.0252903	0.0145161	1.28E-05	0.00473992	0.000223693	0.000630808	9.35E-06	5.29E-20	4.11E-14	1.02E-05	1.10E-08	4.72E-07	1.89E-09	1.46E-07	4.01E-07	1.02E-09	2.12E-06	3.74E-16	2.99E-11	6.01E-07	0	6.07E-18	5.51E-06	311886	1005	5	4	6	3	0.026	1.078	45.991	2.20	2.62	3.776	35
2.081	7.85E-09	2.77E-14	1.51E-12	1.74E-11	1.95E-14	0.110261	0.0004405	0.00342621	4.70E-08	3.32E-08	0.00358264	0.0913174	0.0251429	0.0140098	1.55E-05	0.00469624	0.000213732	0.000622076	9.49E-06	6.07E-20	4.50E-14	1.02E-05	9.43E-09	4.85E-07	2.24E-09	1.47E-07	4.04E-07	8.81E-10	1.91E-06	3.93E-16	2.18E-11	7.63E-07	0	4.70E-18	5.50E-06	307657	1038	5	4	5	3	0.030	0.993	45.311	2.49	2.93	5.323	39
2.10832	6.87E-09	3.42E-14	4.87E-12	3.20E-11	4.77E-14	0.109645	0.00077957	0.00356748	7.07E-08	4.79E-08	0.00406672	0.0908866	0.0248901	0.0134511	1.69E-05	0.00468463	0.000203109	0.000615408	9.67E-06	1.32E-19	1.31E-13	1.01E-05	1.15E-08	5.02E-07	3.99E-09	1.52E-07	4.10E-07	9.85E-10	1.67E-06	5.78E-16	1.57E-11	9.59E-07	0	5.11E-18	5.45E-06	217601	828	5	4	5	3	0.054	0.911	44.151	2.96	3.42	7.656	44
2.13229	5.98E-09	4.84E-14	1.55E-11	4.79E-11	1.45E-13	0.108804	0.00152472	0.00362889	1.16E-07	7.92E-08	0.00441804	0.0908596	0.0245644	0.0129252	1.59E-05	0.00472086	0.000198567	0.000608778	9.89E-06	3.38E-19	4.75E-13	9.92E-06	1.66E-08	5.22E-07	7.72E-09	1.58E-07	4.19E-07	1.29E-09	1.52E-06	9.61E-16	1.36E-11	1.09E-06	0	7.55E-18	5.37E-06	134036	468	5	4	5	3	0.106	0.853	42.387	3.42	3.90	9.538	48
2.15966	5.00E-09	6.46E-14	3.61E-11	5.74E-11	4.41E-13	0.107533	0.00289457	0.00362322	1.75E-07	1.25E-07	0.00474293	0.0910452	0.0240292	0.0122816	1.30E-05	0.00488142	0.00020222	0.000608386	1.02E-05	7.57E-19	1.31E-12	9.56E-06	2.40E-08	5.51E-07	1.45E-08	1.70E-07	4.32E-07	1.65E-09	1.41E-06	1.56E-15	1.29E-11	1.18E-06	0	1.19E-17	5.24E-06	83844	227	5	4	5	3	0.204	0.793	39.572	3.93	4.41	11.116	51
2.18356	4.17E-09	7.12E-14	5.15E-11	5.79E-11	1.08E-12	0.106272	0.00434222	0.00354194	2.06E-07	1.57E-07	0.0049772	0.0913671	0.0235556	0.0117312	1.02E-05	0.00501805	0.000208464	0.000604134	1.05E-05	1.08E-18	1.87E-12	9.12E-06	2.92E-08	5.75E-07	2.27E-08	1.84E-07	4.41E-07	1.78E-09	1.36E-06	2.06E-15	1.15E-11	1.23E-06	0	1.44E-17	5.12E-06	63418	109	5	4	5	3	0.310	0.739	36.643	4.29	4.82	12.038	51
2.21082	3.29E-09	6.79E-14	5.40E-11	5.70E-11	2.95E-12	0.10494	0.00593216	0.00339184	2.00E-07	1.72E-07	0.00517997	0.0917391	0.0230948	0.0112094	7.56E-06	0.0051508	0.000218319	0.000598143	1.08E-05	1.17E-18	1.72E-12	8.52E-06	3.08E-08	5.96E-07	3.78E-08	2.03E-07	4.48E-07	1.68E-09	1.32E-06	2.42E-15	8.61E-12	1.26E-06	0	1.30E-17	5.00E-06	52422	40	5	3	5	2	0.429	0.680	33.238	4.58	5.28	12.712	52
2.23709	2.59E-09	5.74E-14	4.28E-11	6.01E-11	6.04E-12	0.103902	0.00718725	0.00323568	1.65E-07	1.63E-07	0.0053145	0.0920164	0.0227613	0.0108444	5.92E-06	0.00526021	0.000230036	0.000593627	1.11E-05	9.76E-19	1.24E-12	7.94E-06	2.75E-08	6.08E-07	6.01E-08	2.24E-07	4.51E-07	1.40E-09	1.30E-06	2.53E-15	5.56E-12	1.28E-06	0	8.87E-18	4.92E-06	48961	18	5	3	5	2	0.525	0.632	30.285	4.73	5.72	13.112	52
